id,first_name,last_name,gender,ZOMBIE,States
195,Nadeen,Ludovici,F,false,TX
196,Sutherlan,Bothen,M,false,NY
197,Angelia,Heditch,F,true,TX
198,Adele,MacCaffrey,F,true,TX
199,Myron,Dubois,M,true,TX
200,Emmeline,Kirkman,F,true,NY
201,Lark,Lacer,F,true,NY
202,Clarance,Lambal,M,true,TX
203,Malvin,Sheards,M,false,MA
204,Ara,Hurran,M,true,NY
205,Joshuah,Firman,M,true,TX
206,Trefor,MacDiarmid,M,true,TX
207,Arty,Andrejs,M,true,NY
208,Terese,Surgey,F,true,TX
209,Sigfrid,Walton,M,true,NY
210,Alysa,Huddles,F,false,MA
211,Skye,Idenden,M,true,TX
212,Aveline,Nicholes,F,true,NY
213,Merv,Shirt,M,true,NY
214,Ricki,Dumberell,F,false,TX
215,Cleopatra,Chiene,F,false,MA
216,Feodora,Hubbuck,F,false,TX
217,Katalin,Sharpous,F,false,TX
218,Claiborn,Tattersill,M,true,NY
219,Pancho,Daid,M,true,TX
220,Daisie,Mulgrew,F,true,NY
221,Kale,Hansill,M,true,NY
222,Cristabel,Boutwell,F,false,TX
223,Mannie,Cosgry,M,true,TX
224,Jeane,Gornar,F,true,TX
225,Chrystal,Paulot,F,true,TX
226,Auria,Tremmil,F,false,TX
227,Cally,Woolfall,F,true,TX
228,Yancy,Adamowitz,M,true,NY
229,Aldo,Kirkwood,M,true,TX
230,Darill,Cejka,M,true,TX
231,Shelton,Romero,M,false,TX
232,Nadia,Flanaghan,F,true,TX
233,Trent,Clash,M,false,NY
234,Ethelind,Denyukin,F,false,NY
235,Simone,Shilito,F,true,TX
236,Donn,Bloom,M,true,MA
237,Cob,Havock,M,true,TX
238,Sioux,Baccas,F,true,NY
239,Tadeo,Biskupski,M,true,TX
240,Andromache,Shear,F,true,NY
241,Krista,Holworth,F,false,TX
242,Lindi,Maisey,F,false,TX
243,Valerye,Kesterton,F,false,TX
244,Duke,Baldung,M,false,NY
245,Elmer,Greger,M,true,TX
246,Rickie,Ritchie,F,true,TX
247,Carita,Elloy,F,true,NY
248,Lorene,Giddons,F,true,TX
249,Irene,Grossier,F,false,NY
250,Layne,Weiner,F,true,NY
251,Blinny,Nelsen,F,false,NY
252,Munmro,Barttrum,M,false,TX
253,Victoria,Laudham,F,true,NY
254,Sherm,Sayce,M,true,MA
255,Josefa,O' Hogan,F,false,TX
256,Jedidiah,Goly,M,true,TX
257,Earvin,Cheevers,M,true,NY
258,Rosaleen,O'Sullivan,F,true,TX
259,Herb,Bexon,M,true,TX
260,Garret,Freemantle,M,true,NY
261,Estella,Watkinson,F,false,NY
262,Gilly,Leroux,F,true,NY
263,Bernard,Jolliffe,M,true,TX
264,Iosep,Shuttle,M,false,NY
265,Dedra,Whooley,F,false,NJ
266,Waldemar,Vigus,M,false,MA
267,Warde,Hernik,M,false,TX
268,Kai,Pilmoor,F,true,TX
269,Jareb,Caen,M,false,NY
270,Hedwig,Critchlow,F,true,TX
271,Marielle,Sayce,F,true,TX
272,Kamilah,Pharo,F,true,TX
273,Cordie,Rampley,M,true,TX
274,Raye,Ladyman,F,true,TX
275,Saul,Sebrook,M,true,TX
276,Lydon,Chatelain,M,true,NY
277,Lilllie,Phelit,F,true,NY
278,Dewey,Klink,M,true,TX
279,Miriam,Hambly,F,true,TX
280,Laurette,Tumelty,F,false,TX
281,Jeffrey,Curds,M,false,NY
282,Rab,Kofax,M,true,NY
283,Pepillo,Thornebarrow,M,true,TX
284,Corny,Schafer,M,false,NY
285,Doroteya,Legh,F,false,TX
286,Konstantin,Rusling,M,true,TX
287,Sharlene,Philippon,F,true,TX
288,Prinz,Ronan,M,true,TX
289,Christiana,Aylesbury,F,true,TX
290,Gabey,Mandrake,F,true,TX
291,Rich,Spellecy,M,false,NY
292,Tiphanie,Monro,F,true,TX
293,Hilliary,Londsdale,F,false,TX
294,Cordelie,Dickerline,F,true,TX
295,Yvon,Karolyi,M,false,NY
296,Katya,Kempton,F,true,NY
297,Giuditta,Joiris,F,false,NY
298,Rance,Abberley,M,false,TX
299,Zorana,Cannan,F,false,NY
300,Bellanca,Golborne,F,true,NY
301,Peadar,Witherby,M,true,TX
302,Herbert,Arbon,M,true,TX
303,Letty,Turn,F,false,TX
304,Anthony,Melloy,M,true,TX
305,Ardelia,Laughlin,F,false,MA
306,Reg,De la Barre,M,true,TX
307,Kingston,Bolderstone,M,true,TX
308,Brooks,Bleibaum,F,false,NY
309,Ario,Bonifazio,M,false,TX
310,Patten,Lisciardelli,M,false,TX
311,Raff,Cosley,M,true,TX
312,Spencer,Narducci,M,false,NY
313,Bernete,Munslow,F,true,TX
314,Albina,Lanon,F,true,MA
315,Yorker,Jarvis,M,false,TX
316,Corena,Osborn,F,true,TX
317,Cy,Killough,M,true,TX
318,Kevan,Izhaky,M,true,TX
319,Caroljean,Grigoletti,F,false,TX
320,Saxon,Vel,M,true,NY
321,Clem,Dalziel,F,false,NY
322,Madge,Asipenko,F,false,TX
323,Lambert,Bakhrushkin,M,false,TX
324,Wake,Mourant,M,true,TX
325,Bride,Merdew,F,true,TX
326,Amberly,Condy,F,true,TX
327,Fee,Hasloch,M,true,TX
328,Linette,Sans,F,false,MA
329,Rafaelia,Beau,F,false,TX
330,Avril,Ludvigsen,F,true,TX
331,Corey,Dmitrichenko,M,false,TX
332,Kandace,Stoakley,F,false,TX
333,Gilda,Cordery,F,false,NY
334,Nil,Hacquel,M,true,NY
335,Gabriella,Dooly,F,true,NY
336,Afton,Leagas,F,false,TX
337,Lauretta,Scally,F,false,TX
338,Alasdair,Corrison,M,false,TX
339,Mickey,Aulsford,M,false,TX
340,Donnie,Sedgman,M,false,NY
341,Mike,Dogg,M,false,NY
342,Duncan,Pomfrey,M,true,NJ
343,Nicolis,Gowers,M,true,TX
344,Dorisa,Giovanni,F,true,TX
345,Wash,Younie,M,false,TX
346,Jakob,Schubart,M,false,TX
347,Alecia,Burrells,F,false,NY
348,Liz,Ruxton,F,false,TX
349,Bobby,Yegorovnin,M,false,TX
350,Palm,Fessions,M,false,TX
351,Mariam,Mallinder,F,true,TX
352,Rodolph,Litel,M,true,NY
353,Berty,Treble,M,true,TX
354,Consalve,Gritskov,M,true,NY
355,Flory,Antoniou,F,true,TX
356,Pieter,Berrigan,M,true,TX
357,Ive,Bernon,M,false,TX
358,Darryl,Jobson,M,true,TX
359,Kalina,De Angelis,F,false,NJ
360,Jeffry,Deyes,M,true,TX
361,Rana,Seggie,F,true,NY
362,Juditha,O' Quirk,F,false,TX
363,Sidoney,Coveney,F,true,NY
364,Karalee,Stawell,F,false,TX
365,Chris,Comiskey,F,false,TX
366,Randa,Enston,F,false,TX
367,Cobbie,McPartling,M,true,NJ
368,Gwenneth,Weekland,F,false,TX
369,Sallyanne,Sailes,F,true,TX
370,Coraline,Simmell,F,false,TX
371,Klaus,Evitts,M,false,TX
372,Amalea,Patemore,F,false,TX
373,Demetris,Fairbrace,M,false,TX
374,Esme,Connett,M,true,NY
375,Heall,Arnell,M,true,NY
376,Matti,Hirsch,F,false,NY
377,Jacquenetta,Charsley,F,false,TX
378,Dean,Egdal,M,true,TX
379,Cobby,Bottrill,M,true,TX
380,Cesar,Baribal,M,true,TX
381,Delila,Bettanay,F,false,NY
382,Brendan,Glasser,M,false,NY
383,Niels,Ramme,M,true,TX
384,Jonell,Fear,F,false,NY
385,Sid,Everwin,M,true,NJ
386,Idelle,Gambrell,F,true,TX
387,Ginger,Riddoch,F,true,TX
388,Letti,Barthod,F,false,TX
389,Warren,Peckham,M,false,NY
390,Flory,Torricella,M,true,NY
391,Clevey,Confort,M,false,TX
392,Benny,Scotter,F,true,NY
393,Alley,Feathersby,M,false,TX
394,Melania,Fearns,F,false,TX
395,Arnold,Downer,M,false,NY
396,Letisha,Wroth,F,false,TX
397,Gar,Ahrens,M,false,TX
398,Dennison,Gwinnett,M,false,NY
399,Aleece,Ferris,F,true,NY
400,Loree,Phython,F,true,TX
401,Jojo,Sylett,F,false,TX
402,Hayyim,Shaddock,M,true,TX
403,Radcliffe,Race,M,true,NY
404,Caryl,Garrish,M,false,MA
405,Worthington,Welsby,M,true,TX
406,Lockwood,Di Carli,M,true,TX
407,Brantley,Schade,M,true,TX
408,Brinna,Rhys,F,true,TX
409,Nora,Gockelen,F,false,MA
410,Nerta,Leverson,F,false,TX
411,Felecia,Cunnow,F,true,TX
412,Bran,Elgey,M,true,TX
413,Miof mela,Depke,F,true,TX
414,Billye,Shelly,F,false,TX
415,Etheline,Accombe,F,false,TX
416,Shamus,Totterdill,M,false,NY
417,Trenna,Edgeler,F,false,TX
418,Whitman,Wilden,M,true,TX
419,Herve,Tofano,M,true,TX
420,Silvan,Senechault,M,false,TX
421,Cristabel,Gobell,F,false,TX
422,Elli,Wakes,F,false,TX
423,Marshall,Rollo,M,true,NJ
424,Bianca,Duffin,F,false,NY
425,Reider,Houliston,M,false,TX
426,Tresa,Josselson,F,false,TX
427,Jarred,Pley,M,true,NY
428,Lurette,Commuzzo,F,false,TX
429,Rabi,Butland,M,false,TX
430,Felipe,Hospital,M,true,TX
431,Martynne,Geeson,F,false,NY
432,Madel,Bastard,F,true,TX
433,Hatti,Kleeborn,F,false,NY
434,Jacquenette,Gayton,F,false,MA
435,Cher,Kiljan,F,false,TX
436,Gertrude,Burlingham,F,false,MA
437,Janis,Haverson,F,false,NY
438,Randa,Oertzen,F,true,NY
439,Cross,Pallister,M,true,TX
440,Amy,Gresswell,F,true,MA
441,Lucienne,Pitt,F,false,TX
442,Debera,Ledbetter,F,false,TX
443,Ellis,Keppy,M,true,TX
444,Rachael,Hinze,F,true,TX
445,Phelia,Mynott,F,false,TX
446,Alane,Jezzard,F,false,TX
447,Skippy,Fricker,M,false,NY
448,Roley,Tuffell,M,true,NY
449,Bunny,Crate,F,false,NY
450,Rheta,Maitland,F,false,TX
451,Melodee,Jakuszewski,F,false,NY
452,Avril,Beall,F,true,NJ
453,Witty,Kenen,M,true,TX
454,Peirce,Gaitskill,M,false,TX
455,Carlynne,Schimoni,F,false,NY
456,Patsy,D'eye,M,true,NJ
457,Lainey,Tombleson,F,true,TX
458,Nancie,Annets,F,false,NY
459,Mariejeanne,Gibbeson,F,false,NY
460,Aubrette,Aymerich,F,true,NY
461,Ahmed,Gallihaulk,M,false,TX
462,Deana,Bole,F,true,TX
463,Louie,Joubert,M,true,TX
464,Mendel,Buret,M,true,NY
465,Evelyn,Flea,M,false,NY
466,Farlay,Stanbury,M,false,TX
467,Novelia,Dellar,F,false,TX
468,Kamillah,Robic,F,false,TX
469,Ado,Haysom,M,false,MA
470,Yance,McCaughran,M,true,NY
471,Bren,Shapland,M,true,MA
472,Chauncey,Hurry,M,true,TX
473,Dominic,McNab,M,true,TX
474,Irina,Freke,F,false,TX
475,Yetty,Causon,F,true,NY
476,Kelcey,Whartonby,F,true,TX
477,Torrey,Goodall,M,true,TX
478,Carma,Coast,F,true,TX
479,Davie,Tessier,M,false,TX
480,Windham,Mc Queen,M,false,NY
481,Aaron,Matelaitis,M,false,TX
482,Bernie,Duddell,M,false,TX
483,Adena,Cluney,F,true,NY
484,Faina,Rankling,F,false,TX
485,Eirena,Woolforde,F,true,TX
486,Dewitt,Tytler,M,true,NJ
487,Yolande,Spitaro,F,true,TX
488,Fergus,Fardon,M,true,TX
489,Melodee,Desesquelle,F,false,NY
490,Iris,Blunn,F,true,TX
491,Demetra,Plaschke,F,true,TX
492,Berkeley,Slayton,M,false,NY
493,Janaya,McGlaud,F,false,NY
494,Gwendolyn,Marqyes,F,true,TX
495,Ruby,Adamowitz,F,true,TX
496,Vilma,Kloster,F,false,TX
497,Eydie,Ysson,F,false,NY
498,Ray,Durn,F,true,NY
499,Gerrie,Signoret,M,true,TX
500,Win,Tommaseo,M,true,TX
501,Rhea,Speedy,F,true,TX
502,Charmian,McCumesky,F,true,NY
503,Sammy,Plaide,M,false,NY
504,Hilliard,Jayume,M,false,TX
505,Jessy,Ambler,F,false,TX
506,Dora,MacManus,F,true,MA
507,Nadeen,Bowhey,F,false,TX
508,Billie,Trime,M,true,NY
509,Dyan,Gammade,F,true,TX
510,Cassi,Scully,F,true,TX
511,Goldy,Ferrettino,F,false,TX
512,Maje,Ubsdall,M,true,TX
513,Eadith,Ibbitt,F,false,TX
514,Corliss,Jeste,F,false,TX
515,Coral,Roumier,F,true,TX
516,Leone,Stag,F,true,TX
517,Arleta,McKinney,F,false,MA
518,Oswald,Marchant,M,false,NY
519,Raymond,Peevor,M,false,NY
520,Jaclin,Van der Kruis,F,false,TX
521,Griffith,Oriel,M,false,TX
522,Valentia,Dincke,F,false,TX
523,Murray,Barrass,M,false,TX
524,Addie,Iannello,M,false,NJ
525,Fallon,Housecroft,F,true,TX
526,Chickie,McKeating,F,false,TX
527,Zita,Arons,F,false,NY
528,Jilli,Baty,F,false,TX
529,Brendan,Lockney,M,false,TX
530,Flss,Ivashkin,F,true,NJ
531,Lyndsay,Gullick,F,true,NY
532,Casie,Costan,F,false,MA
533,Colet,Goaks,M,false,NJ
534,Griff,Lilburn,M,true,TX
535,Hedwiga,Haughan,F,true,TX
536,Forrest,Donizeau,M,true,NY
537,Veronike,Punchard,F,false,TX
538,Dunn,Maddyson,M,true,TX
539,Sharline,Kurtis,F,false,TX
540,Margaux,Thomassen,F,true,TX
541,Darcy,Sharnock,M,true,TX
542,Celka,Rowlands,F,false,NY
543,Felix,Crepel,M,true,NY
544,Joete,Vedenyakin,F,false,MA
545,Myrtle,Hasser,F,false,MA
546,Deborah,Trass,F,false,TX
547,Kenn,Busswell,M,true,NY
548,Cad,McKomb,M,true,MA
549,Mohammed,Spadotto,M,false,TX
550,Jasen,Akid,M,false,NY
551,Minta,Rankcom,F,false,TX
552,Desdemona,Dibble,F,false,NJ
553,Helen,Laflin,F,true,TX
554,Almire,Borsi,F,true,TX
555,Bourke,Lamming,M,true,MA
556,Ilsa,Birbeck,F,true,TX
557,Codi,Coen,M,true,NY
558,Sim,Antoinet,M,false,TX
559,Gradeigh,Bouttell,M,true,NY
560,Ciro,Rawlence,M,true,TX
561,Baily,Hudel,M,false,NY
562,Nathan,Cannam,M,false,TX
563,Jedediah,Le Prevost,M,true,TX
564,Dorthy,Ramsell,F,false,TX
565,Beck,Antecki,M,true,TX
566,Nataline,Giacovelli,F,true,TX
567,Gert,Whilde,F,true,TX
568,Redd,Savory,M,true,TX
569,Shaw,Montier,M,true,TX
570,Leupold,Lusted,M,false,NY
571,Mordy,Deeny,M,false,TX
572,Rhetta,Sottell,F,true,MA
573,Perceval,Sibley,M,true,NY
574,Dallis,Arrow,M,true,TX
575,Shirlene,Danielczyk,F,true,TX
576,Maegan,Veevers,F,true,NY
577,Kenyon,Wyss,M,false,TX
578,Janna,Burnie,F,false,TX
579,Clare,McVicar,F,true,NY
580,Ardeen,Grunnell,F,false,TX
581,Louella,Overpool,F,true,TX
582,Tiffie,Beccera,F,false,NY
583,Keith,Felgate,M,false,MA
584,Orin,Pitceathly,M,false,TX
585,Viki,Tett,F,true,NY
586,Romona,Delaprelle,F,true,NJ
587,Robyn,Dudenie,F,true,MA
588,Lina,Heighway,F,true,TX
589,Teddy,Dyet,M,false,MA
590,Sharona,Basant,F,true,NY
591,Burnaby,Ahern,M,true,NY
592,Wilden,Jeanon,M,true,TX
593,Karyn,Benedit,F,true,NY
594,Rubetta,Haythornthwaite,F,true,NY
595,Samson,Angelini,M,false,TX
596,Ches,Gronav,M,false,TX
597,Cheston,Ivanitsa,M,true,TX
598,Joshua,Tranfield,M,true,MA
599,Serge,McArley,M,false,TX
600,Tessie,Van Castele,F,false,TX
601,Wallis,Adamo,M,true,NY
602,Edwin,Joderli,M,true,TX
603,Breanne,McMenemy,F,true,TX
604,Joli,Selkirk,F,false,TX
605,Jillayne,Champken,F,true,TX
606,Jard,Judge,M,false,NJ
607,Hamilton,Corsar,M,true,TX
608,Solly,Whichelow,M,false,TX
609,Gene,Balmforth,F,true,TX
610,Marlena,Found,F,true,NY
611,Chrysa,Chatel,F,true,TX
612,Ahmad,Sucre,M,true,NY
613,Valle,Stenet,M,false,MA
614,Ray,Lenthall,F,false,NY
615,Andriette,Byron,F,true,TX
616,Jody,Addlestone,M,false,NJ
617,Leone,Giannoni,F,false,MA
618,Arabela,Yourell,F,false,TX
619,Ferdie,Pursey,M,false,TX
620,Kaspar,Ing,M,false,TX
621,Fernando,Cunradi,M,false,TX
622,Minnie,Cronkshaw,F,true,NY
623,Lotty,Antoszewski,F,false,NY
624,Delmar,St. Aubyn,M,true,TX
625,Jenni,Puig,F,true,TX
626,Valma,Prier,F,false,TX
627,Stuart,Bleasby,M,false,TX
628,Tammy,Smallridge,M,true,TX
629,Calv,Hearthfield,M,false,TX
630,Kilian,Lidgerton,M,false,TX
631,Norris,Trowill,M,true,TX
632,Anders,Erbe,M,false,NY
633,Amalie,Courtliff,F,false,TX
634,Cornelius,Van den Hof,M,true,TX
635,Aila,Citrine,F,true,TX
636,Annecorinne,Attenbrough,F,true,NY
637,Avivah,Pleavin,F,true,NJ
638,Brita,Videneev,F,true,TX
639,Renault,Brambill,M,true,TX
640,Marv,Noen,M,false,NY
641,Theodor,Treagus,M,true,TX
642,Tandie,Pellew,F,true,TX
643,Edie,Goodwyn,F,true,NY
644,Storm,Ravens,F,true,TX
645,Alfy,Alred,M,true,NY
646,My,Catherall,M,false,TX
647,Marys,Wookey,F,false,TX
648,Maggie,Blaxland,F,true,TX
649,Hilario,Naisby,M,true,TX
650,Marcela,Mahaddie,F,false,TX
651,Monte,Le Hucquet,M,false,NY
652,Donnell,Bickerdike,M,true,TX
653,Timoteo,Kettlestringes,M,true,NY
654,Matthiew,Agent,M,true,TX
655,Dominic,Wotton,M,false,TX
656,Junina,Merrigans,F,true,TX
657,Chelsey,Jendrusch,F,false,TX
658,Wallace,Abrahamsson,M,true,TX
659,Arlan,Ovett,M,false,TX
660,Laurene,Dozdill,F,false,TX
661,Berkeley,Headford,M,false,MA
662,Rafaelia,Penritt,F,true,NJ
663,Osgood,Jess,M,false,TX
664,Velma,Burvill,F,true,NJ
665,Vasilis,Welds,M,false,NJ
666,Gifford,Barrass,M,true,TX
667,Natale,Penke,M,true,NY
668,Rosalinde,Malone,F,true,NY
669,Dorry,MacRonald,F,true,MA
670,Agosto,Croney,M,false,NY
671,Kittie,Rubbens,F,true,TX
672,Bette-ann,Escudier,F,true,NJ
673,Devonna,Aspole,F,true,TX
674,Humphrey,Gideon,M,false,NJ
675,Ed,Churchouse,M,true,TX
676,Nealon,McAne,M,false,TX
677,Billy,Lamdin,F,false,TX
678,Martino,Coleridge,M,true,MA
679,Mario,Wolpert,M,true,NJ
680,Walker,Seamark,M,true,TX
681,Jeralee,Deware,F,false,NY
682,Syman,Knudsen,M,false,NY
683,Myrilla,Karadzas,F,false,TX
684,Garrot,Golbourn,M,false,NY
685,Burke,Dumingo,M,false,MA
686,Lise,O'Halligan,F,false,NY
687,Roseann,Shimwall,F,true,NY
688,George,Manjin,F,false,NY
689,Penelopa,Chrisp,F,true,TX
690,Eleanor,Moran,F,false,NY
691,Lynette,Backs,F,true,TX
692,Rochella,Schwaiger,F,false,NY
693,Warde,Crowe,M,false,NY
694,Giulio,Lofting,M,false,TX
695,Duane,Duchatel,M,true,MA
696,Arman,Faires,M,false,TX
697,Matthieu,Tolchard,M,true,TX
698,Simon,Pods,M,false,NY
699,Felecia,Rishworth,F,false,NY
700,Leila,Castanyer,F,false,TX
701,Sydney,Danniell,F,true,NY
702,Adora,Josephov,F,true,TX
703,Hartwell,Yurkin,M,false,NY
704,Manfred,Bottby,M,true,MA
705,Alasteir,Caesman,M,false,TX
706,Carlye,Danieli,F,false,TX
707,Kalie,Thirlaway,F,false,MA
708,Andres,Lapthorne,M,false,TX
709,Budd,Benner,M,true,NY
710,Candis,Nelthorpe,F,true,TX
711,Phillie,Codman,F,false,NY
712,Robbert,Sheer,M,true,NY
713,Matthiew,Haggish,M,true,TX
714,Devondra,Kernoghan,F,true,TX
715,Odille,Ockleshaw,F,true,NY
716,Myrvyn,Noden,M,false,NY
717,Alair,Algar,M,true,TX
718,Lowrance,Bloan,M,true,TX
719,Arnold,Commusso,M,true,NY
720,Gustie,Wayland,F,true,TX
721,Dukey,Birtonshaw,M,false,NJ
722,Cos,Moulson,M,true,NY
